			GMRT Grid Version 4.2.1
Longitude	Latitude	Distance (km)	Elevation (m)
22.22	-60.87	2042.8344	-5179.473
22.14	-60.92	2050.1042	-5250.7847
22.06	-60.98	2057.374	-5306.7065
21.98	-61.03	2064.6438	-5317.464
21.90	-61.08	2071.9136	-5310.957
21.82	-61.14	2079.1833	-5300.761
21.74	-61.19	2086.4531	-5282.9004
21.66	-61.24	2093.723	-5203.137
21.58	-61.29	2100.9927	-5147.488
21.50	-61.35	2108.2625	-5199.88
21.42	-61.40	2115.5322	-5189.027
21.34	-61.45	2122.802	-5197.9165
21.26	-61.51	2130.0718	-5224.614
21.18	-61.56	2137.3416	-5223.4204
21.10	-61.61	2144.6113	-5220.1465
21.02	-61.66	2151.881	-5228.717
20.93	-61.72	2159.151	-5240.1064
20.85	-61.77	2166.4207	-5213.844
20.77	-61.82	2173.6904	-5187.7314
20.69	-61.87	2180.9602	-5198.8394
20.60	-61.93	2188.23	-5220.7075
20.52	-61.98	2195.4998	-5199.312
20.43	-62.03	2202.7695	-5171.884
20.35	-62.08	2210.0393	-5145.735
20.27	-62.13	2217.309	-5212.943
20.18	-62.19	2224.5789	-5202.819
20.10	-62.24	2231.8486	-5154.1074
20.01	-62.29	2239.1184	-5133.8003
19.92	-62.34	2246.3882	-5141.679
19.84	-62.39	2253.658	-5132.439
19.75	-62.45	2260.9277	-5152.588
19.67	-62.50	2268.1975	-5155.45
19.58	-62.55	2275.4673	-5135.108
19.49	-62.60	2282.737	-5111.8906
19.40	-62.65	2290.0068	-5155.1963
19.32	-62.70	2297.2766	-5076.4917
19.23	-62.75	2304.5464	-4993.031
19.14	-62.81	2311.8162	-5002.617
19.05	-62.86	2319.086	-4980.5225
18.96	-62.91	2326.3557	-4895.6333
18.87	-62.96	2333.6255	-4830.2017
18.78	-63.01	2340.8953	-4870.694
18.69	-63.06	2348.165	-4941.6074
18.60	-63.11	2355.4348	-4987.144
18.51	-63.16	2362.7046	-5081.216
18.42	-63.21	2369.9744	-5110.4
18.33	-63.27	2377.2441	-5122.4155
18.24	-63.32	2384.514	-5137.05
