			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
-157.791	20.899	467.80704	-493.25507
-157.804	20.875	470.85214	-539.5868
-157.818	20.850	473.89725	-516.8764
-157.831	20.826	476.94235	-563.2821
-157.845	20.802	479.98746	-519.3211
-157.858	20.778	483.03256	-658.67413
-157.872	20.753	486.07767	-1602.385
-157.885	20.729	489.12277	-2425.327
-157.899	20.705	492.16788	-3138.6025
-157.912	20.680	495.21298	-3625.2837
-157.926	20.656	498.2581	-4351.118
-157.939	20.632	501.3032	-4602.7183
-157.953	20.607	504.3483	-4719.405
-157.966	20.583	507.3934	-4767.9604
-157.980	20.559	510.4385	-4764.259
-157.993	20.534	513.48364	-4748.5645
-158.007	20.510	516.5287	-4724.18
-158.020	20.486	519.57385	-4698.292
-158.034	20.462	522.6189	-4673.557
-158.047	20.437	525.66406	-4649.152
-158.061	20.413	528.7092	-4630.4097
-158.074	20.389	531.7544	-4602.9897
-158.087	20.364	534.79956	-4578.245
-158.101	20.340	537.8447	-4553.4194
-158.114	20.316	540.8899	-4535.007
-158.128	20.291	543.93506	-4504.1763
-158.141	20.267	546.9802	-4485.9033
-158.155	20.243	550.0254	-4478.377
-158.168	20.218	553.07056	-4433.67
-158.181	20.194	556.1157	-4451.5903
-158.195	20.170	559.1609	-4445.2236
-158.208	20.145	562.20605	-4436.509
-158.222	20.121	565.2512	-3896.3193
-158.235	20.097	568.2964	-3032.3079
-158.248	20.072	571.34155	-3226.0679
-158.262	20.048	574.3867	-4076.9822
-158.275	20.024	577.4319	-4391.0913
-158.289	19.999	580.47705	-4387.56
-158.302	19.975	583.5222	-4380.2666
-158.315	19.951	586.5674	-4373.03
-158.329	19.926	589.61255	-4368.349
-158.342	19.902	592.6577	-4359.9883
-158.355	19.878	595.7029	-4354.842
-158.369	19.853	598.74805	-4350.8945
-158.382	19.829	601.7932	-4344.7266
-158.395	19.805	604.8384	-4337.484
-158.409	19.780	607.88354	-4329.4614
-158.422	19.756	610.9287	-4317.097
-158.435	19.732	613.9739	-4287.875
-158.449	19.707	617.01904	-4257.371
-158.462	19.683	620.0642	-4232.449
-158.475	19.659	623.1094	-4182.197
-158.489	19.634	626.15454	-4155.788
-158.502	19.610	629.1997	-4185.3027
-158.515	19.586	632.2449	-4260.0356
-158.529	19.561	635.29004	-4300.733
-158.542	19.537	638.3352	-4306.3564
-158.555	19.513	641.3804	-4326.635
-158.569	19.488	644.42554	-4337.4976
-158.582	19.464	647.4707	-4363.2563
-158.595	19.440	650.51587	-4384.027
-158.608	19.415	653.56104	-4391.841
-158.622	19.391	656.6062	-4406.9326
-158.635	19.367	659.65137	-4420.799
-158.648	19.342	662.69653	-4442.607
-158.662	19.318	665.7417	-4445.1187
-158.675	19.294	668.78687	-4446.9136
-158.688	19.269	671.83203	-4447.0615
-158.701	19.245	674.8772	-4437.4434
-158.715	19.220	677.92236	-4409.2417
-158.728	19.196	680.9675	-4397.433
-158.741	19.172	684.0127	-4362.209
-158.754	19.147	687.05786	-4122.284
-158.768	19.123	690.103	-4145.011
-158.781	19.099	693.1482	-4272.784
-158.794	19.074	696.19336	-4351.613
-158.807	19.050	699.2385	-4381.884
-158.820	19.026	702.2837	-4475.963
-158.834	19.001	705.32886	-4457.6035
-158.847	18.977	708.374	-4423.622
-158.860	18.952	711.4192	-4362.871
-158.873	18.928	714.46436	-4325.262
-158.886	18.904	717.5095	-4153.945
-158.900	18.879	720.5547	-3982.6965
-158.913	18.855	723.59985	-4166.2266
-158.926	18.831	726.645	-4220.971
-158.939	18.806	729.6902	-3958.4666
-158.952	18.782	732.73535	-3791.7944
-158.966	18.757	735.7805	-3797.7573
-158.979	18.733	738.8257	-4049.5078
-158.992	18.709	741.87085	-4320.571
-159.005	18.684	744.916	-4514.382
-159.018	18.660	747.9612	-4640.354
-159.031	18.635	751.00635	-4713.1245
-159.045	18.611	754.0515	-4740.2153
-159.058	18.587	757.0967	-4758.4253
-159.071	18.562	760.14185	-4787.3643
-159.084	18.538	763.187	-4801.882
-159.097	18.514	766.2322	-4787.9404
-159.110	18.489	769.27734	-4784.6064
-159.123	18.465	772.3225	-4820.0107
-159.137	18.440	775.3677	-4824.563
-159.150	18.416	778.41284	-4813.833
-159.163	18.392	781.458	-4855.0103
-159.176	18.367	784.5032	-4869.5557
-159.189	18.343	787.54834	-4841.2935
-159.202	18.318	790.5935	-4859.9497
-159.215	18.294	793.6387	-4879.2095
-159.228	18.270	796.68384	-4903.451
-159.241	18.245	799.729	-4930.613
-159.255	18.221	802.7742	-4916.1943
-159.268	18.196	805.81934	-4944.9673
-159.281	18.172	808.8645	-4963.802
-159.294	18.148	811.90967	-4973.9155
-159.307	18.123	814.95483	-4996.6274
-159.320	18.099	818.0	-5009.186
-159.333	18.074	821.04517	-4975.838
-159.346	18.050	824.09033	-4983.257
-159.359	18.026	827.1355	-5019.248
-159.372	18.001	830.18066	-5064.966
-159.385	17.977	833.2258	-5093.4814
-159.398	17.952	836.271	-5098.343
-159.411	17.928	839.31616	-5096.151
-159.424	17.904	842.3613	-5111.978
-159.437	17.879	845.4065	-5133.6934
-159.451	17.855	848.45166	-5168.244
-159.464	17.830	851.4968	-5171.208
-159.477	17.806	854.542	-5177.327
-159.490	17.782	857.58716	-5197.5605
-159.503	17.757	860.6323	-5189.014
-159.516	17.733	863.6775	-5246.7437
-159.529	17.708	866.72266	-5310.6943
-159.542	17.684	869.7678	-5329.8896
-159.555	17.659	872.813	-5317.8716
-159.568	17.635	875.85815	-5327.731
-159.581	17.611	878.9033	-5422.4053
-159.594	17.586	881.9485	-5398.8247
-159.607	17.562	884.99365	-5322.0283
-159.620	17.537	888.0388	-5325.3984
-159.633	17.513	891.084	-5378.148
-159.646	17.488	894.12915	-5391.1475
-159.659	17.464	897.1743	-5448.235
-159.672	17.440	900.2195	-5510.652
-159.685	17.415	903.26465	-5523.896
-159.698	17.391	906.3098	-5488.313
-159.711	17.366	909.355	-5475.7505
-159.724	17.342	912.40015	-5456.7
-159.737	17.317	915.4453	-5440.1763
-159.749	17.293	918.4905	-5453.9116
-159.762	17.269	921.53564	-5453.419
-159.775	17.244	924.5808	-5533.4297
-159.788	17.220	927.626	-5531.009
-159.801	17.195	930.67114	-5477.9956
-159.814	17.171	933.7163	-5581.191
-159.827	17.146	936.7615	-5609.2554
-159.840	17.122	939.80664	-5577.9585
-159.853	17.098	942.8518	-5589.41
-159.866	17.073	945.897	-5596.363
-159.879	17.049	948.94214	-5576.0703
-159.892	17.024	951.9873	-5581.8604
-159.905	17.000	955.0325	-5594.62
-159.918	16.975	958.07764	-5587.1343
-159.931	16.951	961.1228	-5608.063
-159.943	16.926	964.16797	-5602.5054
-159.956	16.902	967.21313	-5631.8945
-159.969	16.878	970.2583	-5666.4263
-159.982	16.853	973.30347	-5680.557
-159.995	16.829	976.34863	-5662.745
-160.008	16.804	979.3938	-5667.7695
-160.021	16.780	982.43896	-5675.5283
-160.034	16.755	985.48413	-5674.082
-160.047	16.731	988.5293	-5681.151
-160.059	16.706	991.57446	-5659.7085
-160.072	16.682	994.6196	-5671.2896
-160.085	16.658	997.6648	-5682.6064
-160.098	16.633	1000.70996	-5661.73
-160.111	16.609	1003.7551	-5696.253
-160.124	16.584	1006.8003	-5703.107
-160.137	16.560	1009.84546	-5705.0776
-160.150	16.535	1012.8906	-5681.7856
-160.162	16.511	1015.9358	-5663.9688
-160.175	16.486	1018.98096	-5681.05
-160.188	16.462	1022.0261	-5688.285
-160.201	16.437	1025.0713	-5684.5757
-160.214	16.413	1028.1165	-5697.747
-160.227	16.389	1031.1616	-5697.275
-160.239	16.364	1034.2068	-5678.851
-160.252	16.340	1037.252	-5693.9087
-160.265	16.315	1040.2971	-5682.616
-160.278	16.291	1043.3423	-5664.8687
-160.291	16.266	1046.3875	-5660.3125
-160.304	16.242	1049.4326	-5673.831
-160.316	16.217	1052.4778	-5659.1704
-160.329	16.193	1055.523	-5663.2285
-160.342	16.168	1058.5681	-5670.4233
-160.355	16.144	1061.6133	-5667.4795
-160.368	16.119	1064.6584	-5663.497
-160.380	16.095	1067.7036	-5653.166
-160.393	16.070	1070.7488	-5657.9634
-160.406	16.046	1073.794	-5654.921
-160.419	16.022	1076.8391	-5684.643
-160.432	15.997	1079.8843	-5657.408
-160.444	15.973	1082.9294	-5632.7993
-160.457	15.948	1085.9746	-5646.003
-160.470	15.924	1089.0198	-5639.459
-160.483	15.899	1092.065	-5630.5356
-160.495	15.875	1095.1101	-5629.763
-160.508	15.850	1098.1553	-5626.706
-160.521	15.826	1101.2004	-5628.0615
-160.534	15.801	1104.2456	-5682.096
-160.546	15.777	1107.2908	-5635.0386
-160.559	15.752	1110.3359	-5630.307
-160.572	15.728	1113.3811	-5625.6367
-160.585	15.703	1116.4263	-5583.102
-160.597	15.679	1119.4714	-5597.744
-160.610	15.654	1122.5166	-5597.638
-160.623	15.630	1125.5618	-5606.382
-160.636	15.605	1128.6069	-5598.9204
-160.648	15.581	1131.6521	-5590.5625
-160.661	15.556	1134.6973	-5603.0615
-160.674	15.532	1137.7424	-5624.531
-160.687	15.507	1140.7876	-5627.357
-160.699	15.483	1143.8328	-5639.268
-160.712	15.458	1146.8779	-5638.4546
-160.725	15.434	1149.9231	-5644.9346
-160.737	15.409	1152.9683	-5497.092
-160.750	15.385	1156.0134	-5550.6772
-160.763	15.360	1159.0586	-5605.2236
-160.776	15.336	1162.1038	-5607.2324
-160.788	15.312	1165.1489	-5577.4644
-160.801	15.287	1168.1941	-5571.52
-160.814	15.263	1171.2393	-5564.7017
-160.826	15.238	1174.2844	-5590.032
-160.839	15.214	1177.3296	-5598.113
-160.852	15.189	1180.3748	-5608.5474
-160.864	15.165	1183.4199	-5578.78
